uid,name,corpus,tier,png_path,gt_svg_path
synthetic/gradient_linear@128,gradient_linear,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\gradient_linear.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\gradient_linear.svg
synthetic/gradient_radial@128,gradient_radial,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\gradient_radial.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\gradient_radial.svg
synthetic/logo_like@128,logo_like,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\logo_like.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\logo_like.svg
synthetic/mosaic_grid4@128,mosaic_grid4,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\mosaic_grid4.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\mosaic_grid4.svg
synthetic/mosaic_grid6@128,mosaic_grid6,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\mosaic_grid6.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\mosaic_grid6.svg
synthetic/mosaic_pie12@128,mosaic_pie12,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\mosaic_pie12.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\mosaic_pie12.svg
synthetic/mosaic_pie6@128,mosaic_pie6,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\mosaic_pie6.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\mosaic_pie6.svg
synthetic/prim_circle@128,prim_circle,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\prim_circle.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\prim_circle.svg
synthetic/prim_ellipse@128,prim_ellipse,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\prim_ellipse.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\prim_ellipse.svg
synthetic/prim_hex@128,prim_hex,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\prim_hex.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\prim_hex.svg
synthetic/prim_rect_rot@128,prim_rect_rot,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\prim_rect_rot.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\prim_rect_rot.svg
synthetic/prim_roundrect@128,prim_roundrect,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\prim_roundrect.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\prim_roundrect.svg
synthetic/prim_star5@128,prim_star5,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\prim_star5.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\prim_star5.svg
synthetic/rings_concentric@128,rings_concentric,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\rings_concentric.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\rings_concentric.svg
synthetic/stack_overlap@128,stack_overlap,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\stack_overlap.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\stack_overlap.svg
synthetic/symmetry_mirror@128,symmetry_mirror,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\symmetry_mirror.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\symmetry_mirror.svg
synthetic/symmetry_rot3@128,symmetry_rot3,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\symmetry_rot3.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\symmetry_rot3.svg
synthetic/symmetry_rot5@128,symmetry_rot5,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\symmetry_rot5.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\symmetry_rot5.svg
synthetic/symmetry_rot8@128,symmetry_rot8,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\symmetry_rot8.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\symmetry_rot8.svg
synthetic/thin_features@128,thin_features,synthetic,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\synthetic\128\thin_features.png,M:\AI STORAGE\SVGIfication\bench\data\corpus_svg\synthetic\thin_features.svg
noto-emoji/emoji_u0030@128,emoji_u0030,noto-emoji,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\noto-emoji\128\emoji_u0030.png,data\corpus_svg\noto-emoji\emoji_u0030.svg
noto-emoji/emoji_u1f1f4@128,emoji_u1f1f4,noto-emoji,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\noto-emoji\128\emoji_u1f1f4.png,data\corpus_svg\noto-emoji\emoji_u1f1f4.svg
noto-emoji/emoji_u1f351@128,emoji_u1f351,noto-emoji,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\noto-emoji\128\emoji_u1f351.png,data\corpus_svg\noto-emoji\emoji_u1f351.svg
noto-emoji/emoji_u1f3ab@128,emoji_u1f3ab,noto-emoji,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\noto-emoji\128\emoji_u1f3ab.png,data\corpus_svg\noto-emoji\emoji_u1f3ab.svg
noto-emoji/emoji_u1f3ad@128,emoji_u1f3ad,noto-emoji,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\noto-emoji\128\emoji_u1f3ad.png,data\corpus_svg\noto-emoji\emoji_u1f3ad.svg
noto-emoji/emoji_u1f3c3_1f3fd_200d_27a1@128,emoji_u1f3c3_1f3fd_200d_27a1,noto-emoji,128,M:\AI STORAGE\SVGIfication\bench\data\corpus_raster\noto-emoji\128\emoji_u1f3c3_1f3fd_200d_27a1.png,data\corpus_svg\noto-emoji\emoji_u1f3c3_1f3fd_200d_27a1.svg
